Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17450322;573108;Libáň;;;;;81671;Libáň;166057;Lindnerova;č.ev.;1;;;50723;682601.57;1019240.76;2013-12-01T00:00:00
17450331;573108;Libáň;;;;;81671;Libáň;166073;Na Horách;č.ev.;4;;;50723;681412.73;1017991.89;2016-03-24T00:00:00
17480060;573108;Libáň;;;;;136441;Křešice;;;č.p.;1;;;50723;684111.88;1022692.81;2013-12-01T00:00:00
17480078;573108;Libáň;;;;;136441;Křešice;;;č.p.;2;;;50723;684128.65;1022737.61;2013-12-01T00:00:00
17480086;573108;Libáň;;;;;136441;Křešice;;;č.p.;3;;;50723;684197.04;1022709.73;2013-12-01T00:00:00
17480094;573108;Libáň;;;;;136441;Křešice;;;č.p.;4;;;50723;684200.78;1022670.55;2013-12-01T00:00:00
17480108;573108;Libáň;;;;;136441;Křešice;;;č.p.;5;;;50723;684143.80;1022669.82;2013-12-01T00:00:00
17480116;573108;Libáň;;;;;136441;Křešice;;;č.p.;6;;;50723;684165.29;1022632.87;2013-12-01T00:00:00
17480124;573108;Libáň;;;;;136441;Křešice;;;č.p.;7;;;50723;684196.86;1022586.42;2013-12-01T00:00:00
17480132;573108;Libáň;;;;;136441;Křešice;;;č.p.;8;;;50723;683796.56;1022446.92;2013-12-01T00:00:00
17480141;573108;Libáň;;;;;136441;Křešice;;;č.p.;9;;;50723;684270.17;1022682.82;2013-12-01T00:00:00
17480159;573108;Libáň;;;;;136441;Křešice;;;č.p.;10;;;50723;683752.91;1022507.55;2013-12-01T00:00:00
17480167;573108;Libáň;;;;;136441;Křešice;;;č.p.;11;;;50723;683828.22;1022476.12;2013-12-01T00:00:00
17480175;573108;Libáň;;;;;136441;Křešice;;;č.p.;13;;;50723;683822.58;1022527.92;2013-12-01T00:00:00
17480183;573108;Libáň;;;;;136441;Křešice;;;č.p.;14;;;50723;683843.31;1022524.54;2013-12-01T00:00:00
17480191;573108;Libáň;;;;;136441;Křešice;;;č.p.;15;;;50723;683831.52;1022507.92;2013-12-01T00:00:00
17480205;573108;Libáň;;;;;136441;Křešice;;;č.p.;16;;;50723;684064.99;1022744.89;2013-12-01T00:00:00
17480213;573108;Libáň;;;;;136441;Křešice;;;č.p.;17;;;50723;684111.35;1022773.46;2013-12-01T00:00:00
17480221;573108;Libáň;;;;;136441;Křešice;;;č.p.;19;;;50723;683797.11;1022408.84;2013-12-01T00:00:00
17480230;573108;Libáň;;;;;136441;Křešice;;;č.p.;20;;;50723;683748.75;1022346.55;2013-12-01T00:00:00
17480248;573108;Libáň;;;;;136441;Křešice;;;č.p.;21;;;50723;683314.40;1023375.07;2013-12-01T00:00:00
17480256;573108;Libáň;;;;;136441;Křešice;;;č.p.;22;;;50723;683820.20;1022541.00;2013-12-01T00:00:00
17480264;573108;Libáň;;;;;136441;Křešice;;;č.p.;23;;;50723;683859.53;1022493.23;2013-12-01T00:00:00
17480272;573108;Libáň;;;;;136441;Křešice;;;č.p.;24;;;50723;683868.54;1022477.24;2013-12-01T00:00:00
